Dates,PX_LAST
11/30/2016,2678.642
12/1/2016,2712.685
12/2/2016,2692.528
12/5/2016,2735.978
12/6/2016,2706.862
12/7/2016,2886.035
12/8/2016,2950.986
12/9/2016,2887.827
12/12/2016,2907.088
12/13/2016,2840.794
12/14/2016,2837.659
12/15/2016,2766.885
12/16/2016,2769.573
12/19/2016,2732.394
12/20/2016,2771.364
12/21/2016,2787.49
12/22/2016,2760.166
12/23/2016,2744.936
12/28/2016,2836.763
12/29/2016,2821.981
12/30/2016,2829.596
1/3/2017,2809.887
1/4/2017,2786.146
1/5/2017,2786.594
1/6/2017,2772.708
1/9/2017,2806.751
1/10/2017,2950.538
1/11/2017,2997.571
1/12/2017,3049.979
1/13/2017,3061.625
1/16/2017,3124.784
1/17/2017,3055.354
1/18/2017,3134.638
1/19/2017,3098.356
1/20/2017,3090.741
1/23/2017,3112.69
1/24/2017,3238.559
1/25/2017,3202.724
1/26/2017,3165.546
1/27/2017,3196.005
1/30/2017,3136.43
1/31/2017,3127.471
2/1/2017,3153.004
2/2/2017,3148.972
2/3/2017,3037.437
2/6/2017,3032.51
2/7/2017,3077.303
2/8/2017,3025.791
2/9/2017,3029.822
2/10/2017,3200.485
2/13/2017,3296.342
2/14/2017,3260.956
2/15/2017,3273.946
2/16/2017,3267.227
2/17/2017,3224.673
2/20/2017,3266.331
2/21/2017,3265.883
2/22/2017,3232.288
2/23/2017,3149.864
2/24/2017,3055.405
2/27/2017,3078.444
2/28/2017,3038.357
3/1/2017,3138.806
3/2/2017,3091.346
3/3/2017,3077.983
3/6/2017,3013.935
3/7/2017,3031.445
3/8/2017,3005.181
3/9/2017,2951.27
3/10/2017,2929.153
3/13/2017,3045.268
3/14/2017,3054.944
3/15/2017,3083.973
3/16/2017,3183.501
3/17/2017,3182.579
3/20/2017,3197.785
3/21/2017,3066.003
3/22/2017,3049.876
3/23/2017,3010.249
3/24/2017,3001.955
3/27/2017,2886.3
3/28/2017,2967.397
3/29/2017,3002.877
3/30/2017,3031.906
3/31/2017,2957.721
4/3/2017,2936.525
4/4/2017,3008.406
4/5/2017,3011.632
4/6/2017,3001.955
4/7/2017,2999.651
4/10/2017,3006.102
4/11/2017,3018.543
4/12/2017,2898.281
4/13/2017,2876.163
4/18/2017,2767.42
4/19/2017,2792.763
4/20/2017,2827.321
4/21/2017,2818.566
4/24/2017,2868.33
4/25/2017,2856.35
4/26/2017,2867.869
4/27/2017,2792.302
4/28/2017,2821.792
5/2/2017,2807.047
5/3/2017,2730.097
5/4/2017,2681.716
5/5/2017,2745.303
5/8/2017,2704.755
5/9/2017,2735.627
5/10/2017,2744.381
5/11/2017,2755.44
5/12/2017,2737.009
5/15/2017,2782.626
5/16/2017,2857.272
5/17/2017,2852.664
5/18/2017,2858.193
5/19/2017,2919.016
5/22/2017,2959.103
5/23/2017,2942.054
5/24/2017,2926.388
5/25/2017,2917.172
5/26/2017,2939.75
5/30/2017,2933.3
5/31/2017,2859.115
6/1/2017,2896.438
6/2/2017,2908.418
6/5/2017,2868.791
6/6/2017,2901.506
6/7/2017,2918.094
6/8/2017,2971.083
6/9/2017,3008.406
6/12/2017,2991.357
6/13/2017,2965.093
6/14/2017,2895.977
6/15/2017,2831.929
6/16/2017,2805.204
6/19/2017,2845.752
6/20/2017,2764.656
6/21/2017,2783.087
6/22/2017,2800.135
6/23/2017,2813.037
6/26/2017,2817.184
6/27/2017,2909.339
6/28/2017,2907.957
6/29/2017,2978.916
6/30/2017,2987.671
7/3/2017,3109.777
7/4/2017,3113.463
7/5/2017,3106.091
7/6/2017,3084.895
7/7/2017,3098.257
7/10/2017,3131.894
7/11/2017,3156.776
7/12/2017,3182.119
7/13/2017,3151.707
7/14/2017,3177.511
7/17/2017,3200.089
7/18/2017,3177.511
7/19/2017,3176.129
7/20/2017,3119.914
7/21/2017,3089.963
7/24/2017,3063.238
7/25/2017,3202.393
7/26/2017,3188.569
7/27/2017,3221.745
7/28/2017,3229.118
7/31/2017,3243.863
8/1/2017,3227.275
8/2/2017,3136.041
8/3/2017,3212.991
8/4/2017,3267.823
8/7/2017,3351.684
8/8/2017,3340.626
8/9/2017,3316.665
8/10/2017,3282.356
8/11/2017,3179.06
8/14/2017,3219.624
8/15/2017,3184.248
8/16/2017,3260.187
8/17/2017,3235.189
8/18/2017,3235.189
8/21/2017,3259.716
8/22/2017,3338.956
8/23/2017,3410.179
8/24/2017,3438.951
8/25/2017,3453.572
8/29/2017,3454.044
8/30/2017,3470.553
8/31/2017,3534.228
9/1/2017,3546.491
9/4/2017,3523.851
9/5/2017,3486.118
9/6/2017,3491.306
9/7/2017,3504.984
9/8/2017,3396.5
9/11/2017,3469.609
9/12/2017,3481.401
9/13/2017,3419.14
9/14/2017,3301.694
9/15/2017,3256.886
9/18/2017,3301.694
9/19/2017,3318.675
9/20/2017,3308.298
9/21/2017,3269.149
9/22/2017,3301.694
9/25/2017,3241.321
9/26/2017,3223.397
9/27/2017,3230.472
9/28/2017,3223.397
9/29/2017,3276.224
10/2/2017,3351.22
10/3/2017,3386.595
10/4/2017,3406.877
10/5/2017,3467.723
10/6/2017,3499.796
10/9/2017,3421.499
10/10/2017,3405.462
10/11/2017,3366.785
10/12/2017,3378.105
10/13/2017,3479.514
10/16/2017,3507.343
10/17/2017,3499.324
10/18/2017,3395.085
10/19/2017,3396.5
10/20/2017,3396.029
10/23/2017,3382.822
10/24/2017,3386.595
10/25/2017,3298.393
10/26/2017,3363.483
10/27/2017,3353.107
10/30/2017,3362.068
10/31/2017,3347.446
11/1/2017,3445.554
11/2/2017,3531.398
11/3/2017,3513.946
11/6/2017,3559.698
11/7/2017,3521.965
11/8/2017,3559.227
11/9/2017,3469.609
11/10/2017,3485.646
11/13/2017,3489.419
11/14/2017,3388.482
11/15/2017,3358.767
11/16/2017,3347.918
11/17/2017,3345.088
11/20/2017,3346.503
11/21/2017,3370.558
11/22/2017,3427.159
11/23/2017,3456.402
11/24/2017,3447.912
11/27/2017,3406.405
11/28/2017,3381.878
11/29/2017,3318.675
11/30/2017,3303.109
12/1/2017,3303.581
12/4/2017,3339.428
12/5/2017,3271.979
12/6/2017,3300.279
12/7/2017,3245.566
12/8/2017,3271.979
12/11/2017,3337.541
12/12/2017,3340.371
12/13/2017,3346.031
12/14/2017,3360.182
12/15/2017,3419.14
12/18/2017,3463.949
12/19/2017,3438.007
12/20/2017,3499.796
12/21/2017,3559.227
12/22/2017,3534.228
12/27/2017,3584.225
12/28/2017,3639.411
12/29/2017,3718.651
1/2/2018,3762.517
1/3/2018,3760.63
1/4/2018,3760.63
1/5/2018,3735.16
1/8/2018,3808.74
1/9/2018,3862.039
1/10/2018,3857.322
1/11/2018,3929.488
1/12/2018,3933.733
1/15/2018,3936.091
1/16/2018,3817.23
1/17/2018,3777.61
1/18/2018,3782.327
1/19/2018,3788.93
1/22/2018,3772.422
1/23/2018,3717.708
1/24/2018,3696.483
1/25/2018,3714.406
1/26/2018,3719.123
1/29/2018,3796.477
1/30/2018,3732.801
1/31/2018,3699.784
2/1/2018,3706.388
2/2/2018,3680.446
2/5/2018,3677.144
2/6/2018,3627.147
2/7/2018,3660.636
2/8/2018,3544.133
2/9/2018,3573.848
2/12/2018,3674.786
2/13/2018,3730.915
2/14/2018,3797.892
2/15/2018,3891.754
2/16/2018,3869.586
2/19/2018,3825.249
2/20/2018,3764.403
2/21/2018,3788.459
2/22/2018,3795.062
2/23/2018,3774.78
2/26/2018,3833.739
2/27/2018,3818.174
2/28/2018,3703.558
3/1/2018,3687.882
3/2/2018,3549.36
3/5/2018,3604.476
3/6/2018,3656.178
3/7/2018,3648.861
3/8/2018,3602.525
3/9/2018,3635.204
3/12/2018,3622.523
3/13/2018,3624.474
3/14/2018,3625.937
3/15/2018,3645.447
3/16/2018,3643.496
3/19/2018,3523.022
3/20/2018,3568.87
3/21/2018,3623.986
3/22/2018,3496.196
3/23/2018,3479.124
3/26/2018,3449.372
3/27/2018,3511.316
3/28/2018,3436.69
3/29/2018,3522.534
4/3/2018,3541.556
4/4/2018,3451.323
4/5/2018,3556.189
4/6/2018,3472.784
4/9/2018,3512.291
4/10/2018,3621.06
4/11/2018,3630.327
4/12/2018,3658.129
4/13/2018,3692.271
4/16/2018,3638.619
4/17/2018,3682.516
4/18/2018,3879.567
4/19/2018,3855.18
4/20/2018,3889.322
4/23/2018,3851.766
4/24/2018,3877.129
4/25/2018,3827.866
4/26/2018,3850.79
4/27/2018,3880.543
4/30/2018,3849.327
5/1/2018,3818.599
5/2/2018,3930.294
5/3/2018,3902.004
5/4/2018,3975.167
5/8/2018,3925.416
5/9/2018,4025.893
5/10/2018,4093.69
5/11/2018,4120.516
5/14/2018,4137.1
5/15/2018,4125.881
5/16/2018,4243.429
5/17/2018,4250.746
5/18/2018,4233.674
5/21/2018,4287.327
5/22/2018,4306.837
5/23/2018,4170.267
5/24/2018,4138.075
5/25/2018,4159.049
5/29/2018,4111.737
5/30/2018,4157.098
5/31/2018,4136.124
6/1/2018,4186.85
6/4/2018,4211.726
6/5/2018,4241.966
6/6/2018,4381.95
6/7/2018,4340.979
6/8/2018,4311.714
6/11/2018,4310.739
6/12/2018,4277.084
6/13/2018,4289.278
6/14/2018,4294.155
6/15/2018,4116.126
6/18/2018,4153.683
6/19/2018,4019.064
6/20/2018,4020.527
6/21/2018,4001.993
6/22/2018,4079.545
6/25/2018,3943.463
6/26/2018,4005.407
6/27/2018,4083.935
6/28/2018,4081.496
6/29/2018,4098.08
7/2/2018,3965.899
7/3/2018,3959.071
7/4/2018,3868.837
7/5/2018,3938.585
7/6/2018,3971.265
7/9/2018,4059.06
7/10/2018,4044.427
7/11/2018,3923.465
7/12/2018,3920.051
7/13/2018,3940.536
7/16/2018,3905.906
7/17/2018,3972.728
7/18/2018,4019.064
7/19/2018,3971.265
7/20/2018,3986.873
7/23/2018,3963.948
7/24/2018,4152.22
7/25/2018,4067.351
7/26/2018,4059.06
7/27/2018,4060.035
7/30/2018,4047.841
7/31/2018,4093.69
8/1/2018,3954.681
8/2/2018,3812.258
8/3/2018,3894.2
8/6/2018,3826.89
8/7/2018,3864.935
8/8/2018,3855.18
8/9/2018,3881.5
8/10/2018,3803
8/13/2018,3823.5
8/14/2018,3775
8/15/2018,3649.5
8/16/2018,3689.5
8/17/2018,3706
8/20/2018,3717.5
8/21/2018,3667
8/22/2018,3697
8/23/2018,3661.5
8/24/2018,3719
8/28/2018,3768
8/29/2018,3727.5
8/30/2018,3687.5
8/31/2018,3659
9/3/2018,3650
9/4/2018,3574
9/5/2018,3564.5
9/6/2018,3544.5
9/7/2018,3509.5
9/10/2018,3515.5
9/11/2018,3486
9/12/2018,3534.5
9/13/2018,3560
9/14/2018,3596.5
9/17/2018,3605
9/18/2018,3615.5
