Dates,PX_LAST
1/10/2017,1.2177
1/11/2017,1.2213
1/12/2017,1.2162
1/13/2017,1.2182
1/16/2017,1.2047
1/17/2017,1.2414
1/18/2017,1.2261
1/19/2017,1.2342
1/20/2017,1.2375
1/23/2017,1.2535
1/24/2017,1.252
1/25/2017,1.2634
1/26/2017,1.2597
1/27/2017,1.2555
1/30/2017,1.2486
1/31/2017,1.2579
2/1/2017,1.2659
2/2/2017,1.2527
2/3/2017,1.2484
2/6/2017,1.2469
2/7/2017,1.2509
2/8/2017,1.2541
2/9/2017,1.2497
2/10/2017,1.2491
2/13/2017,1.2526
2/14/2017,1.2468
2/15/2017,1.2461
2/16/2017,1.2489
2/17/2017,1.2412
2/20/2017,1.2463
2/21/2017,1.2473
2/22/2017,1.245
2/23/2017,1.2556
2/24/2017,1.2462
2/27/2017,1.2442
2/28/2017,1.238
3/1/2017,1.2293
3/2/2017,1.2267
3/3/2017,1.2291
3/6/2017,1.2236
3/7/2017,1.22
3/8/2017,1.2168
3/9/2017,1.2165
3/10/2017,1.2167
3/13/2017,1.2219
3/14/2017,1.2153
3/15/2017,1.2291
3/16/2017,1.236
3/17/2017,1.2396
3/20/2017,1.2358
3/21/2017,1.2478
3/22/2017,1.2485
3/23/2017,1.2521
3/24/2017,1.2473
3/27/2017,1.2559
3/28/2017,1.245
3/29/2017,1.2434
3/30/2017,1.2468
3/31/2017,1.255
4/3/2017,1.2486
4/4/2017,1.244
4/5/2017,1.2483
4/6/2017,1.247
4/7/2017,1.2371
4/10/2017,1.2415
4/11/2017,1.2491
4/12/2017,1.254
4/13/2017,1.2503
4/14/2017,1.2523
4/17/2017,1.2565
4/18/2017,1.2841
4/19/2017,1.2777
4/20/2017,1.2813
4/21/2017,1.2817
4/24/2017,1.2796
4/25/2017,1.2842
4/26/2017,1.2848
4/27/2017,1.2904
4/28/2017,1.2951
5/1/2017,1.2886
5/2/2017,1.2939
5/3/2017,1.2867
5/4/2017,1.2923
5/5/2017,1.2982
5/8/2017,1.294
5/9/2017,1.2934
5/10/2017,1.2938
5/11/2017,1.2886
5/12/2017,1.289
5/15/2017,1.2896
5/16/2017,1.2917
5/17/2017,1.297
5/18/2017,1.2938
5/19/2017,1.3036
5/22/2017,1.3
5/23/2017,1.2961
5/24/2017,1.2972
5/25/2017,1.2942
5/26/2017,1.2804
5/29/2017,1.284
5/30/2017,1.2859
5/31/2017,1.289
6/1/2017,1.2882
6/2/2017,1.2888
6/5/2017,1.2904
6/6/2017,1.2911
6/7/2017,1.296
6/8/2017,1.2956
6/9/2017,1.2746
6/12/2017,1.2659
6/13/2017,1.2754
6/14/2017,1.2751
6/15/2017,1.2758
6/16/2017,1.2783
6/19/2017,1.2737
6/20/2017,1.2629
6/21/2017,1.2671
6/22/2017,1.2682
6/23/2017,1.2718
6/26/2017,1.2723
6/27/2017,1.2814
6/28/2017,1.2926
6/29/2017,1.3007
6/30/2017,1.3025
7/3/2017,1.294
7/4/2017,1.292
7/5/2017,1.2934
7/6/2017,1.2971
7/7/2017,1.289
7/10/2017,1.2881
7/11/2017,1.2848
7/12/2017,1.2885
7/13/2017,1.2939
7/14/2017,1.3098
7/17/2017,1.3055
7/18/2017,1.304
7/19/2017,1.3022
7/20/2017,1.2973
7/21/2017,1.2997
7/24/2017,1.3028
7/25/2017,1.3025
7/26/2017,1.3122
7/27/2017,1.3066
7/28/2017,1.3136
7/31/2017,1.3215
8/1/2017,1.3203
8/2/2017,1.3223
8/3/2017,1.3138
8/4/2017,1.304
8/7/2017,1.3035
8/8/2017,1.2992
8/9/2017,1.3004
8/10/2017,1.2977
8/11/2017,1.3014
8/14/2017,1.2964
8/15/2017,1.2869
8/16/2017,1.2891
8/17/2017,1.2868
8/18/2017,1.287
8/21/2017,1.29
8/22/2017,1.2824
8/23/2017,1.28
8/24/2017,1.2801
8/25/2017,1.2882
8/28/2017,1.2933
8/29/2017,1.2918
8/30/2017,1.2925
8/31/2017,1.293
9/1/2017,1.2951
9/4/2017,1.2931
9/5/2017,1.3033
9/6/2017,1.3043
9/7/2017,1.3101
9/8/2017,1.32
9/11/2017,1.3163
9/12/2017,1.3283
9/13/2017,1.3211
9/14/2017,1.3399
9/15/2017,1.3594
9/18/2017,1.3495
9/19/2017,1.3503
9/20/2017,1.3495
9/21/2017,1.358
9/22/2017,1.3504
9/25/2017,1.3466
9/26/2017,1.3458
9/27/2017,1.3387
9/28/2017,1.3442
9/29/2017,1.3398
10/2/2017,1.3276
10/3/2017,1.3237
10/4/2017,1.3248
10/5/2017,1.3119
10/6/2017,1.3066
10/9/2017,1.3142
10/10/2017,1.3203
10/11/2017,1.3223
10/12/2017,1.3262
10/13/2017,1.3285
10/16/2017,1.3251
10/17/2017,1.319
10/18/2017,1.3205
10/19/2017,1.3159
10/20/2017,1.319
10/23/2017,1.3198
10/24/2017,1.3134
10/25/2017,1.3262
10/26/2017,1.3161
10/27/2017,1.3128
10/30/2017,1.3208
10/31/2017,1.3283
11/1/2017,1.3245
11/2/2017,1.3059
11/3/2017,1.3077
11/6/2017,1.3171
11/7/2017,1.3166
11/8/2017,1.3116
11/9/2017,1.3145
11/10/2017,1.3196
11/13/2017,1.3116
11/14/2017,1.3165
11/15/2017,1.3171
11/16/2017,1.3195
11/17/2017,1.3215
11/20/2017,1.3235
11/21/2017,1.3239
11/22/2017,1.3325
11/23/2017,1.3309
11/24/2017,1.3337
11/27/2017,1.3318
11/28/2017,1.3339
11/29/2017,1.3409
11/30/2017,1.3525
12/1/2017,1.3477
12/4/2017,1.348
12/5/2017,1.3443
12/6/2017,1.3393
12/7/2017,1.3474
12/8/2017,1.339
12/11/2017,1.3341
12/12/2017,1.3318
12/13/2017,1.342
12/14/2017,1.3431
12/15/2017,1.332
12/18/2017,1.3383
12/19/2017,1.3385
12/20/2017,1.3376
12/21/2017,1.3386
12/22/2017,1.3363
12/25/2017,1.3371
12/26/2017,1.3374
12/27/2017,1.34
12/28/2017,1.3443
12/29/2017,1.3513
1/1/2018,1.3503
1/2/2018,1.359
1/3/2018,1.3516
1/4/2018,1.3551
1/5/2018,1.3571
1/8/2018,1.3568
1/9/2018,1.354
1/10/2018,1.3507
1/11/2018,1.3538
1/12/2018,1.3728
1/15/2018,1.3792
1/16/2018,1.3792
1/17/2018,1.3831
1/18/2018,1.3894
1/19/2018,1.3858
1/22/2018,1.3987
1/23/2018,1.4
1/24/2018,1.4242
1/25/2018,1.4142
1/26/2018,1.416
1/29/2018,1.4074
1/30/2018,1.4147
1/31/2018,1.4191
2/1/2018,1.4264
2/2/2018,1.4118
2/5/2018,1.3959
2/6/2018,1.3949
2/7/2018,1.3881
2/8/2018,1.3913
2/9/2018,1.3827
2/12/2018,1.3838
2/13/2018,1.3894
2/14/2018,1.3999
2/15/2018,1.4099
2/16/2018,1.4026
2/19/2018,1.4
2/20/2018,1.3996
2/21/2018,1.3918
2/22/2018,1.3956
2/23/2018,1.3971
2/26/2018,1.3968
2/27/2018,1.3909
2/28/2018,1.376
3/1/2018,1.3776
3/2/2018,1.3802
3/5/2018,1.3849
3/6/2018,1.3888
3/7/2018,1.3896
3/8/2018,1.3811
3/9/2018,1.385
3/12/2018,1.3906
3/13/2018,1.3962
3/14/2018,1.3962
3/15/2018,1.3937
3/16/2018,1.3942
3/19/2018,1.4024
3/20/2018,1.3998
3/21/2018,1.4141
3/22/2018,1.4096
3/23/2018,1.4132
3/26/2018,1.4229
3/27/2018,1.4157
3/28/2018,1.4077
3/29/2018,1.4018
3/30/2018,1.4015
4/2/2018,1.4044
4/3/2018,1.4057
4/4/2018,1.4079
4/5/2018,1.4003
4/6/2018,1.4092
4/9/2018,1.4131
4/10/2018,1.4176
4/11/2018,1.4177
4/12/2018,1.4228
4/13/2018,1.4238
4/16/2018,1.4339
4/17/2018,1.4288
4/18/2018,1.4203
4/19/2018,1.4087
4/20/2018,1.4
4/23/2018,1.394
4/24/2018,1.3978
4/25/2018,1.3932
4/26/2018,1.3919
4/27/2018,1.3781
4/30/2018,1.3763
5/1/2018,1.3614
5/2/2018,1.3576
5/3/2018,1.3575
5/4/2018,1.3531
5/7/2018,1.3557
5/8/2018,1.3547
5/9/2018,1.3547
5/10/2018,1.3519
5/11/2018,1.3542
5/14/2018,1.3556
5/15/2018,1.3502
5/16/2018,1.3486
5/17/2018,1.3516
5/18/2018,1.3469
5/21/2018,1.3427
5/22/2018,1.3432
5/23/2018,1.3347
5/24/2018,1.338
5/25/2018,1.3309
5/28/2018,1.3311
5/29/2018,1.3249
5/30/2018,1.3286
5/31/2018,1.3298
6/1/2018,1.3346
6/4/2018,1.3313
6/5/2018,1.3393
6/6/2018,1.3413
6/7/2018,1.3423
6/8/2018,1.3405
6/11/2018,1.3379
6/12/2018,1.3372
6/13/2018,1.3376
6/14/2018,1.3262
6/15/2018,1.3278
6/18/2018,1.3245
6/19/2018,1.3174
6/20/2018,1.3172
6/21/2018,1.324
6/22/2018,1.3261
6/25/2018,1.3281
6/26/2018,1.3225
6/27/2018,1.3113
6/28/2018,1.3078
6/29/2018,1.3207
7/2/2018,1.3143
7/3/2018,1.3193
7/4/2018,1.323
7/5/2018,1.3222
7/6/2018,1.3283
7/9/2018,1.326
7/10/2018,1.3276
7/11/2018,1.3205
7/12/2018,1.3206
7/13/2018,1.3222
7/16/2018,1.3235
7/17/2018,1.3115
7/18/2018,1.3069
7/19/2018,1.3014
7/20/2018,1.3136
7/23/2018,1.3101
7/24/2018,1.3145
7/25/2018,1.3189
7/26/2018,1.3109
7/27/2018,1.3105
7/30/2018,1.3133
7/31/2018,1.3124
8/1/2018,1.3127
8/2/2018,1.3017
8/3/2018,1.3001
8/6/2018,1.2944
8/7/2018,1.2939
8/8/2018,1.2882
8/9/2018,1.2824
8/10/2018,1.2758
8/13/2018,1.2771
8/14/2018,1.2723
8/15/2018,1.2697
8/16/2018,1.2716
8/17/2018,1.2749
8/20/2018,1.2798
8/21/2018,1.2901
8/22/2018,1.2911
8/23/2018,1.2811
8/24/2018,1.2846
8/27/2018,1.2892
8/28/2018,1.2873
8/29/2018,1.3026
8/30/2018,1.3009
8/31/2018,1.296
9/3/2018,1.287
9/4/2018,1.2855
9/5/2018,1.2905
9/6/2018,1.293
9/7/2018,1.292
9/10/2018,1.3026
9/11/2018,1.3033
9/12/2018,1.3045
9/13/2018,1.3108
9/14/2018,1.3068
9/17/2018,1.3157
9/18/2018,1.3148
9/19/2018,1.3144
9/20/2018,1.3265
9/21/2018,1.3072
9/24/2018,1.312
9/25/2018,1.3184
9/26/2018,1.3167
9/27/2018,1.3079
9/28/2018,1.3031
10/1/2018,1.3042
10/2/2018,1.2979
10/3/2018,1.294
10/4/2018,1.3021
10/5/2018,1.312
10/8/2018,1.309
10/9/2018,1.3143
10/10/2018,1.3196
10/11/2018,1.323
10/12/2018,1.3153
10/15/2018,1.3152
10/16/2018,1.3181
10/17/2018,1.3115
10/18/2018,1.3018
10/19/2018,1.3076
10/22/2018,1.2963
10/23/2018,1.2983
10/24/2018,1.2881
10/25/2018,1.2817
10/26/2018,1.2828
10/29/2018,1.2793
10/30/2018,1.2706
10/31/2018,1.2766
11/1/2018,1.3012
11/2/2018,1.297
11/5/2018,1.3041
11/6/2018,1.3099
11/7/2018,1.3126
11/8/2018,1.3062
11/9/2018,1.2972
11/12/2018,1.2849
11/13/2018,1.2977
11/14/2018,1.2992
11/15/2018,1.2774
11/16/2018,1.2834
11/19/2018,1.2854
11/20/2018,1.2788
11/21/2018,1.2778
11/22/2018,1.2877
11/23/2018,1.2814
11/26/2018,1.2827
11/27/2018,1.2747
11/28/2018,1.2825
11/29/2018,1.2791
11/30/2018,1.2749
12/3/2018,1.2725
12/4/2018,1.2719
12/5/2018,1.2734
12/6/2018,1.2781
12/7/2018,1.2726
12/10/2018,1.2561
12/11/2018,1.2487
12/12/2018,1.2629
12/13/2018,1.2643
12/14/2018,1.2583
12/17/2018,1.2624
12/18/2018,1.2639
12/19/2018,1.261
12/20/2018,1.2656
12/21/2018,1.2645
12/24/2018,1.2706
12/25/2018,1.2675
12/26/2018,1.2633
12/27/2018,1.2644
12/28/2018,1.2699
12/31/2018,1.2754
1/1/2019,1.274
1/2/2019,1.2607
1/3/2019,1.2628
1/4/2019,1.2723
1/7/2019,1.2777
1/8/2019,1.2717
1/9/2019,1.2789
1/10/2019,1.2747
1/11/2019,1.2844
1/14/2019,1.2864
1/15/2019,1.2861
1/16/2019,1.2885
1/17/2019,1.2986
1/18/2019,1.2872
1/21/2019,1.2892
1/22/2019,1.2954
1/23/2019,1.3069
1/24/2019,1.3066
1/25/2019,1.3196
1/28/2019,1.3163
1/29/2019,1.3066
1/30/2019,1.3116
1/31/2019,1.3109
2/1/2019,1.3079
2/4/2019,1.3037
2/5/2019,1.2945
2/6/2019,1.2932
2/7/2019,1.2952
2/8/2019,1.2944
2/11/2019,1.2855
2/12/2019,1.2892
2/13/2019,1.2846
2/14/2019,1.2803
2/15/2019,1.2889
2/18/2019,1.29
